date,number-1,number-2,number-3,number-4,number-5,number-6,prize
17/11/2021,04,15,25,26,32,35,44.760.096.500
14/11/2021,03,05,18,28,42,43,40.056.685.000
12/11/2021,11,14,18,24,35,37,35.913.676.000
10/11/2021,17,18,19,20,27,44,32.121.468.500
07/11/2021,05,20,24,25,35,36,28.473.605.000
05/11/2021,10,16,36,40,41,42,24.823.862.000
03/11/2021,03,13,15,23,24,44,23.137.555.500
31/10/2021,09,14,17,18,36,41,21.433.245.500
29/10/2021,17,19,22,31,32,34,19.914.830.000
27/10/2021,13,17,26,29,33,39,18.378.377.000
24/10/2021,06,29,31,32,39,44,17.106.173.500
22/10/2021,03,05,06,09,28,43,15.801.269.000
20/10/2021,05,09,33,40,41,45,14.504.128.500
17/10/2021,04,12,21,22,27,40,13.176.319.000
15/10/2021,05,13,17,20,29,45,30.980.331.000
13/10/2021,20,34,37,39,41,42,27.804.912.500
10/10/2021,03,25,26,29,40,42,24.429.731.000
08/10/2021,04,13,18,23,33,43,22.803.507.000
06/10/2021,09,11,15,20,32,36,21.685.002.000
03/10/2021,06,12,28,30,39,42,20.403.874.500
01/10/2021,11,15,17,27,28,45,19.241.396.000
29/09/2021,06,15,16,27,36,42,18.375.874.000
26/09/2021,13,27,34,35,36,41,17.252.470.500
24/09/2021,01,04,07,14,16,41,16.086.062.000
22/09/2021,05,10,19,22,36,45,15.141.186.500
19/09/2021,06,24,28,31,36,43,14.451.502.500
17/09/2021,06,10,15,37,39,44,13.530.158.500
15/09/2021,11,14,17,24,29,35,12.731.541.500
12/09/2021,04,08,21,29,33,45,28.279.182.500
10/09/2021,10,16,22,36,43,44,26.526.202.500
08/09/2021,04,18,28,32,36,40,24.753.445.000
05/09/2021,15,18,25,27,29,34,23.703.678.500
03/09/2021,06,11,18,23,32,44,22.852.645.000
01/09/2021,06,13,33,34,40,45,22.155.215.500
29/08/2021,01,18,21,25,27,35,21.293.308.500
27/08/2021,04,10,11,15,24,37,20.426.007.500
25/08/2021,01,03,05,17,22,33,19.773.149.500
22/08/2021,06,07,18,25,40,43,19.055.917.000
20/08/2021,04,08,17,27,32,36,18.472.892.000
18/08/2021,10,16,19,27,28,36,17.869.440.500
23/07/2021,19,26,31,33,41,42,17.106.759.000
21/07/2021,08,10,12,29,34,37,16.087.964.500
18/07/2021,03,08,19,21,25,36,15.017.833.500
16/07/2021,01,09,18,26,41,45,13.992.056.500
14/07/2021,04,11,22,29,37,43,13.052.822.500
11/07/2021,02,08,15,17,19,30,35.050.968.000
09/07/2021,04,09,17,18,28,32,32.309.994.000
07/07/2021,01,06,13,30,34,43,30.668.735.000
04/07/2021,03,14,15,21,26,37,28.743.212.000
02/07/2021,01,14,15,18,32,45,27.110.872.500
30/06/2021,02,05,06,08,10,32,25.400.284.500
27/06/2021,05,10,29,37,42,44,23.704.232.000
25/06/2021,03,05,06,23,24,39,22.185.507.500
23/06/2021,04,07,20,28,33,41,20.526.628.000
20/06/2021,10,24,27,42,43,45,18.982.427.000
18/06/2021,10,11,28,29,40,42,17.563.534.000
16/06/2021,11,19,24,28,31,39,16.164.413.000
13/06/2021,03,10,12,13,36,44,14.815.632.000
11/06/2021,08,12,13,14,32,40,13.438.632.000
09/06/2021,02,07,18,20,24,36,29.292.855.500
06/06/2021,05,07,10,13,14,42,27.467.427.500
04/06/2021,19,24,31,32,35,36,25.695.873.500
02/06/2021,10,20,22,26,31,42,23.915.617.500
30/05/2021,07,10,19,30,40,45,22.221.494.500
28/05/2021,02,15,33,41,44,45,20.863.349.000
26/05/2021,01,10,22,36,38,45,19.252.692.500
23/05/2021,11,14,22,26,29,44,17.658.371.500
21/05/2021,04,28,37,38,40,42,16.169.239.000
19/05/2021,03,12,23,29,33,34,14.639.616.500
16/05/2021,13,23,33,37,40,43,13.202.141.000
14/05/2021,03,11,16,20,24,30,13.242.112.000
12/05/2021,09,15,22,27,34,42,70.068.418.000
09/05/2021,01,07,16,24,27,37,63.700.477.500
07/05/2021,10,20,21,27,33,34,58.038.778.500
05/05/2021,03,14,20,22,37,44,52.338.709.000
02/05/2021,07,08,30,35,40,44,47.209.898.500
30/04/2021,03,04,20,21,36,41,42.764.126.500
28/04/2021,21,39,40,41,43,45,38.903.466.000
25/04/2021,08,19,21,28,32,44,34.931.499.000
23/04/2021,13,16,18,22,34,39,31.264.325.500
21/04/2021,03,12,19,27,32,35,27.861.050.500
18/04/2021,07,09,15,23,26,27,26.021.983.000
16/04/2021,08,09,11,28,30,39,24.454.960.500
14/04/2021,11,12,16,18,33,35,22.996.078.000
11/04/2021,03,23,27,32,34,39,21.251.858.000
09/04/2021,03,04,08,17,19,37,19.524.873.000
07/04/2021,13,15,19,25,33,34,18.118.581.500
04/04/2021,05,20,27,30,38,43,16.652.715.000
02/04/2021,01,05,09,16,42,44,15.060.673.000
31/03/2021,02,04,06,36,41,42,13.536.495.500
28/03/2021,23,26,40,41,43,44,23.503.378.500
26/03/2021,02,11,15,18,23,42,21.504.845.500
24/03/2021,07,14,23,26,37,39,19.644.598.000
21/03/2021,08,09,11,31,36,39,17.995.687.000
19/03/2021,05,06,24,34,36,37,16.456.035.000
17/03/2021,06,11,26,28,36,41,14.817.761.000
14/03/2021,01,09,11,32,34,42,13.364.217.000
12/03/2021,05,11,17,34,38,42,40.180.868.000
10/03/2021,05,14,15,19,25,33,37.799.084.500
07/03/2021,04,12,25,28,33,45,35.534.020.000
05/03/2021,09,11,13,21,27,41,33.427.077.500
03/03/2021,01,20,28,37,40,44,31.633.445.000
28/02/2021,04,05,25,28,29,42,29.467.504.000
26/02/2021,11,13,19,27,37,41,27.697.196.500
24/02/2021,02,13,19,33,40,43,25.868.493.000
21/02/2021,06,07,22,24,27,37,23.887.950.500
19/02/2021,12,19,22,23,34,44,21.767.678.000
17/02/2021,03,18,21,22,36,44,20.047.161.500
14/02/2021,03,13,18,21,39,44,18.057.569.500
10/02/2021,08,13,18,19,21,24,16.640.737.500
07/02/2021,01,04,07,15,41,42,14.949.740.500
05/02/2021,02,08,31,32,42,44,13.433.505.000
03/02/2021,07,09,14,23,35,41,24.820.198.500
31/01/2021,04,06,07,11,34,41,23.187.996.000
29/01/2021,06,07,08,29,35,39,21.357.120.500
27/01/2021,01,07,11,28,41,44,19.736.887.000
24/01/2021,08,09,23,25,31,32,17.985.612.000
22/01/2021,01,06,07,20,28,43,16.469.103.000
20/01/2021,07,20,29,30,40,45,14.904.372.000
17/01/2021,04,05,32,39,40,42,13.432.888.000
15/01/2021,04,06,10,13,26,43,13.284.139.000
13/01/2021,19,20,21,28,33,41,19.778.012.000
10/01/2021,10,11,22,32,38,43,18.016.946.500
08/01/2021,08,19,22,25,32,35,16.509.836.500
06/01/2021,22,27,30,35,40,45,15.043.389.000
03/01/2021,04,31,34,36,40,43,13.599.620.500
01/01/2021,10,16,24,26,30,32,100.379.870.000
30/12/2020,01,13,20,26,35,37,93.092.703.500
27/12/2020,03,11,17,19,34,39,85.542.628.500
25/12/2020,06,12,15,22,33,39,79.257.983.500
23/12/2020,07,11,17,31,35,40,73.587.193.000
20/12/2020,15,18,28,30,34,44,67.862.170.500
18/12/2020,04,09,14,23,32,38,62.918.148.000
16/12/2020,10,11,22,27,36,41,58.449.750.000
13/12/2020,10,12,20,36,41,44,53.778.716.000
11/12/2020,23,24,25,35,37,39,49.475.568.500
09/12/2020,16,24,27,31,36,43,45.377.214.000
06/12/2020,11,21,24,27,29,37,41.344.297.000
04/12/2020,03,05,33,37,41,43,37.621.514.500
02/12/2020,04,05,07,10,25,39,34.216.388.000
29/11/2020,06,07,14,18,37,43,32.487.853.000
27/11/2020,01,09,12,13,37,43,30.862.326.500
25/11/2020,01,05,07,08,25,40,29.360.095.000
22/11/2020,09,16,17,24,32,40,27.655.191.500
20/11/2020,02,17,24,29,31,37,26.126.425.000
18/11/2020,18,19,21,31,39,44,24.618.929.000
15/11/2020,14,16,21,29,40,41,23.148.689.500
13/11/2020,08,22,23,33,34,36,21.632.894.500
11/11/2020,04,10,12,17,20,35,20.122.882.500
08/11/2020,03,12,14,16,23,33,18.724.109.500
06/11/2020,19,24,30,32,36,37,17.496.992.000
04/11/2020,03,08,11,13,26,38,16.175.474.000
01/11/2020,06,21,27,30,32,44,15.227.119.000
30/10/2020,04,05,14,18,23,43,14.044.809.000
28/10/2020,01,04,07,15,35,45,13.017.582.500
25/10/2020,11,19,30,38,41,45,15.469.693.500
23/10/2020,05,10,16,23,34,45,14.262.597.000
21/10/2020,04,11,26,36,38,41,13.214.173.000
18/10/2020,01,14,25,26,30,40,24.736.948.000
16/10/2020,04,14,16,23,24,27,23.175.596.500
14/10/2020,04,07,23,32,43,44,21.714.617.500
11/10/2020,12,18,28,31,40,45,20.556.242.500
09/10/2020,15,19,23,30,33,39,19.233.191.500
07/10/2020,13,15,25,26,28,34,17.933.889.000
04/10/2020,09,16,19,25,26,39,16.586.431.000
02/10/2020,09,11,21,31,32,37,15.499.943.500
30/09/2020,02,05,31,32,42,44,14.253.385.000
27/09/2020,01,12,26,31,37,38,13.062.466.000
25/09/2020,14,20,22,35,44,45,39.137.122.000
23/09/2020,02,08,17,23,30,41,35.907.292.500
20/09/2020,05,07,09,13,15,16,32.667.127.000
18/09/2020,10,19,21,23,27,33,31.378.564.000
16/09/2020,05,20,29,30,38,40,29.847.296.500
13/09/2020,20,23,28,37,40,44,28.258.554.000
11/09/2020,04,11,13,16,17,33,26.560.368.000
09/09/2020,19,21,34,35,36,39,25.062.356.000
06/09/2020,01,06,19,29,31,44,23.500.560.000
04/09/2020,07,16,20,30,40,41,22.097.628.000
02/09/2020,08,10,14,16,18,24,20.638.279.000
30/08/2020,06,08,18,19,29,33,19.318.430.000
28/08/2020,10,11,14,23,27,37,18.106.010.500
26/08/2020,02,18,24,28,35,42,16.963.660.000
23/08/2020,10,14,19,25,36,39,15.667.908.000
21/08/2020,07,08,26,30,37,43,14.448.262.000
19/08/2020,07,20,36,37,43,45,13.211.329.500
16/08/2020,02,05,06,20,33,39,17.198.203.500
14/08/2020,09,18,21,24,34,41,15.762.353.000
12/08/2020,07,21,34,38,43,44,14.457.721.000
09/08/2020,11,13,14,43,44,45,13.221.947.500
07/08/2020,17,26,35,40,43,44,70.360.287.500
05/08/2020,14,18,19,32,33,38,65.070.796.000
02/08/2020,06,09,12,17,41,42,60.108.410.500
31/07/2020,04,09,19,29,36,41,55.804.881.000
29/07/2020,06,14,26,41,42,43,51.471.624.500
26/07/2020,05,15,21,39,43,45,47.551.547.500
24/07/2020,04,25,31,35,39,41,44.043.448.000
22/07/2020,09,13,18,24,26,42,40.417.844.000
19/07/2020,01,13,14,19,42,45,36.823.607.000
17/07/2020,04,10,18,20,32,45,33.354.961.500
15/07/2020,10,11,18,19,20,45,30.337.936.500
12/07/2020,02,15,21,27,31,35,27.309.454.000
10/07/2020,18,20,22,33,35,39,24.662.886.500
08/07/2020,14,15,17,21,31,38,23.096.788.500
05/07/2020,05,08,10,17,22,31,21.412.184.000
03/07/2020,04,05,17,18,22,36,19.920.010.500
01/07/2020,10,13,14,26,32,33,18.717.334.500
28/06/2020,04,15,24,36,37,41,17.173.729.000
26/06/2020,09,23,27,30,38,41,15.917.912.500
24/06/2020,07,17,18,32,39,40,14.614.719.000
21/06/2020,07,09,13,33,40,44,13.220.130.500
19/06/2020,04,12,17,19,32,45,91.368.222.000
17/06/2020,07,16,28,33,34,45,84.946.818.500
14/06/2020,19,22,24,41,44,45,78.571.404.000
12/06/2020,05,16,22,27,30,31,73.475.094.000
10/06/2020,02,11,23,25,26,35,68.049.543.000
07/06/2020,06,07,11,16,23,44,62.815.156.500
05/06/2020,10,13,22,28,38,43,58.798.582.000
03/06/2020,01,15,17,19,40,43,54.279.268.000
31/05/2020,01,06,13,27,35,40,49.640.083.000
29/05/2020,04,10,23,26,35,37,45.537.563.500
27/05/2020,06,15,29,30,37,42,41.676.491.500
24/05/2020,01,29,30,32,34,35,37.678.580.500
22/05/2020,03,08,19,28,35,41,33.938.516.000
20/05/2020,01,08,15,23,25,39,32.194.354.500
17/05/2020,02,04,21,30,33,37,30.660.959.000
15/05/2020,03,12,13,28,33,36,28.926.318.500
13/05/2020,06,20,21,35,40,45,27.388.276.500
10/05/2020,07,09,23,32,33,37,25.796.746.500
08/05/2020,01,03,07,12,22,25,24.151.984.500
06/05/2020,03,18,25,29,30,44,22.721.676.000
03/05/2020,05,18,29,32,38,44,21.141.122.000
01/05/2020,06,07,16,37,40,44,19.664.130.500
29/04/2020,01,08,11,13,15,32,18.366.851.000
26/04/2020,05,25,30,36,37,41,16.901.292.000
24/04/2020,10,31,37,39,40,43,15.554.413.500
29/03/2020,07,10,23,36,39,44,14.287.347.500
27/03/2020,01,06,10,35,36,45,13.089.171.500
25/03/2020,26,31,33,37,38,45,15.800.249.000
22/03/2020,02,10,19,22,24,29,14.394.846.500
20/03/2020,08,23,29,37,39,44,13.176.623.000
18/03/2020,06,21,30,37,38,45,62.684.211.000
15/03/2020,04,07,11,17,19,31,57.959.783.500
13/03/2020,08,13,20,28,35,45,53.983.116.000
11/03/2020,12,16,29,35,37,44,50.186.438.500
08/03/2020,03,13,17,19,21,43,46.265.120.000
06/03/2020,06,09,10,16,26,42,42.660.497.500
04/03/2020,01,07,17,24,35,41,39.345.173.500
01/03/2020,01,06,07,13,26,39,36.055.064.000
28/02/2020,02,19,23,27,29,38,32.941.839.000
26/02/2020,02,10,12,20,24,39,29.761.306.500
23/02/2020,01,06,16,23,34,42,26.980.902.000
21/02/2020,13,15,22,28,29,41,24.507.303.500
19/02/2020,01,16,23,25,30,38,22.971.905.500
16/02/2020,01,04,14,36,37,41,21.451.490.000
14/02/2020,04,14,24,32,36,43,19.896.006.000
12/02/2020,05,13,16,20,24,35,18.686.469.000
09/02/2020,01,04,18,22,26,35,17.272.512.500
07/02/2020,06,11,15,33,40,44,15.894.979.500
05/02/2020,09,19,24,37,38,45,14.716.702.500
02/02/2020,01,04,16,32,35,38,13.410.590.500
31/01/2020,08,09,20,25,30,40,39.393.760.000
29/01/2020,03,10,16,24,39,44,35.767.812.500
26/01/2020,04,05,09,25,33,37,32.663.745.000
22/01/2020,01,15,16,34,36,42,29.298.454.500
19/01/2020,01,04,19,25,35,39,25.510.108.000
17/01/2020,08,26,28,37,40,42,23.200.768.000
15/01/2020,02,08,19,31,38,44,21.510.758.000
12/01/2020,07,12,17,21,35,45,19.872.112.500
10/01/2020,10,18,24,35,41,43,18.509.904.500
08/01/2020,02,04,10,21,25,43,17.008.985.000
05/01/2020,05,11,12,26,44,45,15.550.849.500
03/01/2020,01,15,17,26,32,44,14.655.615.000
01/01/2020,08,10,23,26,37,38,13.312.067.500
29/12/2019,07,12,21,24,35,43,57.045.118.500
27/12/2019,02,07,10,12,33,43,52.865.508.000
25/12/2019,10,18,25,26,36,43,48.452.999.500
22/12/2019,09,10,11,18,22,36,44.243.846.500
20/12/2019,01,09,16,27,38,45,40.443.194.000
18/12/2019,08,09,12,19,22,25,37.173.295.000
15/12/2019,03,13,15,16,22,36,35.603.542.000
13/12/2019,02,08,09,25,26,40,33.790.460.500
11/12/2019,01,02,08,27,29,39,32.090.856.500
08/12/2019,12,20,30,31,34,44,30.329.123.500
06/12/2019,02,20,26,35,43,45,28.546.624.000
04/12/2019,16,19,24,30,32,35,26.950.480.500
01/12/2019,03,14,16,27,31,35,25.377.089.500
29/11/2019,14,15,16,17,19,34,23.737.598.500
27/11/2019,03,05,13,19,20,33,22.213.329.000
24/11/2019,05,21,24,28,29,34,20.885.667.500
22/11/2019,01,09,10,19,30,38,19.423.681.500
20/11/2019,10,21,22,24,43,44,18.300.224.000
17/11/2019,06,07,14,31,39,44,16.908.131.500
15/11/2019,02,13,27,33,40,41,15.604.919.500
13/11/2019,17,19,24,30,31,40,14.424.595.500
10/11/2019,04,14,21,28,32,36,13.211.095.000
08/11/2019,04,16,19,30,32,44,13.105.822.000
06/11/2019,03,15,22,23,38,43,25.973.365.000
03/11/2019,28,30,32,38,44,45,24.662.089.000
01/11/2019,06,11,20,30,37,40,23.289.402.000
30/10/2019,02,05,08,12,29,38,21.917.627.500
27/10/2019,01,19,29,30,40,42,20.715.497.000
25/10/2019,04,07,09,22,32,37,19.294.833.000
23/10/2019,02,09,21,23,32,41,18.002.864.000
20/10/2019,01,03,08,15,38,40,16.793.980.000
18/10/2019,04,14,15,22,28,39,15.557.260.500
16/10/2019,01,04,23,28,41,42,14.327.867.000
13/10/2019,06,22,28,31,37,40,13.134.526.000
11/10/2019,06,12,14,27,28,36,22.740.613.000
09/10/2019,03,12,21,24,28,32,21.389.955.500
06/10/2019,01,06,17,30,44,45,20.224.441.000
04/10/2019,02,09,24,25,30,36,18.949.662.000
02/10/2019,02,06,07,25,28,41,17.753.510.000
29/09/2019,02,09,12,18,21,23,16.530.261.500
27/09/2019,06,09,11,28,37,44,15.393.271.500
25/09/2019,09,14,22,26,44,45,14.415.927.500
22/09/2019,03,06,21,36,38,39,13.255.293.000
20/09/2019,07,12,24,29,31,45,99.453.004.500
18/09/2019,03,09,13,17,19,20,94.535.082.000
15/09/2019,08,09,28,33,35,43,89.344.198.000
13/09/2019,02,15,17,25,30,38,84.031.956.000
11/09/2019,21,25,29,32,34,35,78.841.975.000
08/09/2019,06,09,11,26,28,36,73.447.486.500
06/09/2019,02,04,13,15,26,31,69.609.684.500
04/09/2019,01,09,11,23,30,37,65.623.409.000
01/09/2019,05,07,14,16,29,40,61.531.051.000
30/08/2019,05,06,22,23,25,44,57.561.110.500
28/08/2019,01,04,12,14,19,30,53.879.797.500
25/08/2019,07,08,15,20,24,31,50.256.177.000
23/08/2019,06,07,12,17,19,24,46.911.829.000
21/08/2019,06,08,17,20,21,31,43.784.877.000
18/08/2019,02,07,18,21,24,33,40.626.087.000
16/08/2019,06,14,15,19,31,39,37.492.523.500
14/08/2019,13,20,22,24,33,34,34.518.894.000
11/08/2019,01,04,07,09,25,31,31.428.258.500
09/08/2019,11,19,26,28,30,42,28.478.574.500
07/08/2019,01,05,13,31,32,43,26.578.394.000
04/08/2019,06,10,21,30,43,45,25.016.702.000
02/08/2019,11,18,20,22,25,26,23.471.032.000
31/07/2019,06,12,15,19,25,45,22.199.548.000
28/07/2019,05,14,16,24,42,43,21.025.187.500
26/07/2019,05,14,16,22,25,33,19.673.771.500
24/07/2019,20,22,25,39,44,45,18.405.343.500
21/07/2019,07,08,10,24,33,44,17.128.970.000
19/07/2019,09,12,23,26,28,43,16.041.728.500
17/07/2019,10,11,16,22,28,35,15.023.456.000
14/07/2019,02,03,07,25,33,34,14.014.911.500
12/07/2019,16,18,24,26,40,44,12.982.557.500
10/07/2019,01,02,06,07,16,27,29.119.908.000
07/07/2019,02,18,21,23,30,31,27.560.799.500
05/07/2019,19,21,30,31,37,43,25.923.998.500
03/07/2019,02,07,25,29,39,45,24.476.352.500
30/06/2019,05,20,22,25,28,32,23.161.203.000
28/06/2019,11,25,37,40,41,45,21.710.623.500
26/06/2019,01,05,09,10,33,41,20.418.360.500
23/06/2019,03,08,11,27,32,36,19.041.263.000
21/06/2019,01,04,19,21,23,39,17.771.417.500
19/06/2019,02,04,11,15,35,40,16.557.487.500
16/06/2019,06,07,19,29,31,36,15.332.578.500
14/06/2019,02,12,16,36,37,45,14.177.934.500
12/06/2019,10,11,21,23,26,37,13.115.937.000
09/06/2019,02,06,22,25,35,36,34.381.055.000
07/06/2019,11,13,15,26,27,41,32.742.356.500
05/06/2019,04,08,22,25,37,39,31.263.883.000
02/06/2019,02,05,12,35,41,43,29.782.077.000
31/05/2019,05,06,07,12,23,30,28.327.703.000
29/05/2019,12,18,19,27,35,42,26.999.524.500
26/05/2019,11,12,14,23,29,32,25.583.062.000
24/05/2019,02,03,31,33,35,40,24.272.614.500
22/05/2019,01,13,16,22,23,35,22.677.291.500
19/05/2019,02,11,19,27,30,42,21.220.151.500
17/05/2019,06,16,18,29,39,43,19.892.566.500
15/05/2019,17,28,29,33,34,35,18.642.166.500
12/05/2019,01,08,13,17,21,43,17.230.884.500
10/05/2019,05,23,25,30,35,38,15.860.858.500
08/05/2019,01,07,08,31,34,45,14.557.802.000
05/05/2019,13,27,30,38,39,41,13.321.559.500
03/05/2019,01,06,14,31,35,44,20.603.254.000
01/05/2019,18,23,24,27,33,41,19.167.212.000
28/04/2019,04,24,28,30,33,43,17.974.733.000
26/04/2019,01,02,14,15,16,30,16.734.191.500
24/04/2019,04,07,12,13,20,45,15.460.909.500
21/04/2019,08,11,13,20,41,43,14.253.836.000
19/04/2019,01,04,05,12,17,21,13.042.826.000
17/04/2019,07,11,21,25,30,44,13.225.173.500
14/04/2019,04,13,20,34,35,37,44.071.252.500
12/04/2019,03,12,15,16,17,44,40.141.316.500
10/04/2019,07,11,14,30,35,42,36.441.477.000
07/04/2019,08,10,26,28,32,34,32.688.405.500
05/04/2019,02,07,25,36,38,43,29.177.213.000
03/04/2019,04,11,18,33,34,45,26.129.369.500
31/03/2019,03,05,19,28,31,38,24.437.276.000
29/03/2019,02,19,26,27,30,37,22.765.342.000
27/03/2019,09,12,22,24,30,42,21.055.913.000
24/03/2019,05,17,21,27,34,40,19.595.469.000
22/03/2019,01,03,06,13,18,41,18.010.166.000
20/03/2019,02,07,17,24,29,37,16.559.719.000
17/03/2019,05,06,16,18,24,42,15.253.753.500
15/03/2019,05,10,15,19,38,42,14.180.566.000
13/03/2019,05,16,24,26,34,44,13.014.844.500
10/03/2019,05,24,31,32,42,45,24.935.729.000
08/03/2019,04,14,20,27,32,43,23.311.659.500
06/03/2019,02,07,14,24,40,41,21.651.509.000
03/03/2019,01,13,17,20,30,45,20.020.723.000
01/03/2019,15,23,29,31,38,43,18.395.685.000
27/02/2019,05,12,15,16,25,35,16.899.838.500
24/02/2019,01,07,13,23,32,42,15.777.343.000
22/02/2019,07,10,18,25,44,45,14.477.636.500
20/02/2019,01,10,15,24,37,45,13.180.421.500
17/02/2019,11,12,14,25,29,31,21.973.928.500
15/02/2019,03,22,26,27,30,44,20.754.252.000
13/02/2019,05,11,18,33,37,41,19.147.983.000
10/02/2019,01,11,17,25,29,35,17.338.772.000
08/02/2019,11,12,33,36,39,43,15.924.776.500
06/02/2019,22,24,25,30,33,38,14.851.632.000
03/02/2019,01,02,05,09,23,24,13.563.140.000
01/02/2019,03,04,06,38,39,43,75.388.996.000
30/01/2019,01,04,06,13,37,41,70.202.846.500
27/01/2019,09,11,12,22,27,29,64.238.800.500
25/01/2019,11,13,14,22,30,38,59.381.811.000
23/01/2019,02,09,13,29,33,40,54.675.909.000
20/01/2019,08,16,21,31,35,38,49.631.995.000
18/01/2019,12,15,19,38,40,45,45.228.539.500
16/01/2019,01,08,14,24,31,40,41.145.812.500
13/01/2019,01,20,21,23,26,33,37.819.245.500
11/01/2019,19,21,22,23,25,44,35.699.076.500
09/01/2019,17,27,28,30,33,41,33.794.171.000
06/01/2019,09,22,33,34,35,44,31.809.761.500
04/01/2019,01,08,14,16,19,22,29.906.609.000
02/01/2019,04,14,32,35,36,40,28.121.934.500
30/12/2018,10,19,31,35,42,44,26.321.218.500
28/12/2018,03,22,24,25,31,37,24.652.572.000
26/12/2018,21,28,34,35,41,44,23.123.394.000
23/12/2018,01,03,10,11,16,44,21.428.428.500
21/12/2018,01,07,16,27,29,34,19.992.770.500
19/12/2018,02,10,11,32,40,44,18.623.341.500
16/12/2018,01,14,22,26,35,42,17.211.916.500
14/12/2018,07,16,20,26,30,34,15.853.774.500
12/12/2018,01,03,11,15,27,30,14.424.640.000
09/12/2018,06,08,26,34,40,41,13.234.739.000
07/12/2018,01,06,07,22,31,39,13.327.206.000
05/12/2018,07,28,29,39,42,45,22.811.729.000
02/12/2018,02,04,12,23,37,45,21.297.938.500
30/11/2018,11,18,23,25,28,35,19.833.902.000
28/11/2018,08,13,20,21,25,28,18.659.638.000
25/11/2018,03,05,11,18,24,29,17.059.686.000
23/11/2018,08,10,12,21,25,40,16.179.431.500
21/11/2018,07,09,16,19,24,33,14.759.709.000
18/11/2018,06,27,28,30,37,44,13.453.897.000
16/11/2018,04,12,18,21,25,41,52.258.801.500
14/11/2018,12,14,24,26,30,40,48.159.309.000
11/11/2018,20,23,26,27,32,34,43.902.022.000
09/11/2018,06,18,28,32,34,35,39.864.238.000
07/11/2018,06,18,22,25,31,37,36.379.047.500
04/11/2018,07,12,13,17,25,30,32.794.682.000
02/11/2018,04,06,11,18,24,25,29.460.748.500
31/10/2018,17,22,26,30,33,35,26.288.813.500
28/10/2018,09,18,19,20,31,45,23.707.191.500
26/10/2018,02,18,31,33,36,41,22.250.368.000
24/10/2018,06,26,34,35,39,42,20.507.870.500
21/10/2018,06,22,24,28,30,37,18.963.930.500
19/10/2018,02,14,30,38,39,45,17.473.946.000
17/10/2018,01,12,14,36,39,43,15.978.847.000
14/10/2018,07,08,09,34,40,43,14.531.727.000
12/10/2018,11,12,20,26,28,42,13.314.551.500
10/10/2018,18,19,22,28,41,42,66.629.405.000
07/10/2018,14,18,31,34,39,44,61.781.541.000
05/10/2018,04,12,17,29,35,44,57.081.586.000
03/10/2018,06,12,19,21,25,45,52.932.632.500
30/09/2018,01,20,24,36,43,45,48.950.540.000
28/09/2018,02,06,11,13,15,38,44.806.838.500
26/09/2018,12,19,27,39,42,45,40.998.275.000
23/09/2018,18,27,32,35,41,44,38.869.967.500
21/09/2018,01,03,11,14,23,29,36.885.341.000
19/09/2018,10,20,22,24,27,42,34.913.441.500
16/09/2018,03,13,17,18,23,34,33.027.155.000
14/09/2018,12,16,17,18,26,34,31.118.111.500
12/09/2018,11,12,13,16,29,31,29.419.428.500
09/09/2018,08,14,18,21,44,45,27.522.500.500
07/09/2018,08,10,11,28,42,45,25.630.550.500
05/09/2018,05,06,22,27,34,37,24.112.702.500
02/09/2018,10,12,13,22,26,40,22.424.074.500
31/08/2018,11,19,30,36,38,40,20.898.326.500
29/08/2018,16,17,24,28,30,36,19.222.545.000
26/08/2018,01,03,11,12,22,36,17.774.665.500
24/08/2018,03,22,25,29,33,40,16.218.356.500
22/08/2018,15,17,18,33,34,44,14.666.550.500
19/08/2018,16,18,28,36,37,45,13.176.212.000
17/08/2018,03,08,22,28,33,42,16.109.307.500
15/08/2018,12,24,25,33,40,44,14.830.706.500
12/08/2018,05,16,17,28,31,38,13.334.071.500
10/08/2018,18,22,24,29,41,45,31.813.307.500
08/08/2018,19,34,37,39,41,44,29.901.465.000
05/08/2018,07,10,18,31,39,43,27.963.487.000
03/08/2018,03,08,10,24,27,28,26.281.515.500
01/08/2018,05,06,29,30,37,38,24.731.858.000
29/07/2018,26,31,32,37,43,45,22.925.351.500
27/07/2018,02,21,32,37,38,42,21.031.963.500
25/07/2018,09,16,18,38,41,45,19.477.380.000
22/07/2018,08,09,24,27,40,45,17.791.807.000
20/07/2018,13,14,16,19,20,23,16.218.909.000
18/07/2018,08,10,14,19,26,34,14.699.373.500
15/07/2018,07,15,20,29,31,38,13.380.902.000
13/07/2018,03,08,09,25,27,28,16.334.968.000
11/07/2018,12,26,28,29,39,43,14.804.193.500
08/07/2018,02,07,08,10,28,44,13.398.681.000
06/07/2018,22,26,33,34,38,42,19.552.700.000
04/07/2018,02,03,27,28,34,43,17.914.040.000
01/07/2018,04,07,15,28,34,37,16.261.589.000
29/06/2018,06,18,22,24,36,39,14.740.422.500
27/06/2018,25,27,29,33,37,38,13.503.491.000
24/06/2018,06,08,23,32,33,41,45.425.875.500
22/06/2018,15,19,20,26,34,39,41.341.594.500
20/06/2018,02,18,22,30,32,43,37.468.041.000
17/06/2018,03,05,06,07,34,40,33.489.990.000
15/06/2018,08,11,13,23,24,28,29.482.556.000
13/06/2018,02,04,17,24,31,40,27.102.742.000
10/06/2018,22,25,35,36,38,39,24.921.544.500
